Churn,gender,SeniorCitizen,Partner,Dependents,FamilySize,PhoneService,MultipleLines,InternetService,Is_Internet,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,MonthlyChargesPerHead,Contract,Is_Contract_Locked
True,Male,1,Yes,No,2,No,No,DSL,1,No,Yes,Yes,No,No,Yes,Yes,Electronic check,58,45.3,22.65,Month-to-month,0
False,Male,0,Yes,No,2,Yes,No,Fiber optic,1,Yes,No,Yes,Yes,No,No,Yes,Bank transfer (automatic),43,84.25,42.125,One year,1
True,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,2,104.4,52.2,Month-to-month,0
False,Male,0,Yes,No,2,Yes,No,DSL,1,No,Yes,Yes,Yes,Yes,Yes,No,Mailed check,14,81.95,40.975,Two year,1
True,Female,0,Yes,No,2,Yes,No,Fiber optic,1,No,No,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),53,94.85,47.425,One year,1
False,Female,0,Yes,No,2,Yes,Yes,No,0,No,No,No,No,No,No,No,Electronic check,34,24.7,12.35,Month-to-month,0
False,Male,0,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,Yes,Credit card (automatic),61,20.55,10.275,One year,1
True,Female,0,Yes,No,2,No,No,DSL,1,No,No,No,No,No,No,Yes,Electronic check,1,24.8,12.4,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,DSL,1,No,Yes,No,No,No,No,No,Credit card (automatic),40,56.6,28.3,Month-to-month,0
True,Male,0,Yes,No,2,Yes,No,Fiber optic,1,No,Yes,Yes,No,No,Yes,Yes,Electronic check,6,91.0,45.5,Month-to-month,0
False,Female,0,Yes,No,2,Yes,No,Fiber optic,1,Yes,Yes,No,Yes,Yes,No,Yes,Electronic check,20,96.55,48.275,Month-to-month,0
False,Female,0,Yes,No,2,Yes,No,Fiber optic,1,Yes,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),27,101.9,50.95,One year,1
False,Male,0,Yes,No,2,Yes,No,Fiber optic,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),64,102.45,51.225,One year,1
False,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,No,No,No,Yes,No,Electronic check,23,86.8,43.4,Month-to-month,0
False,Female,0,Yes,No,2,No,No,DSL,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),57,58.75,29.375,Month-to-month,0
False,Male,0,Yes,No,2,No,No,DSL,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),66,56.6,28.3,Two year,1
False,Female,0,Yes,No,2,Yes,Yes,No,0,No,No,No,No,No,No,No,Bank transfer (automatic),71,24.75,12.375,Two year,1
True,Male,0,Yes,No,2,Yes,No,DSL,1,No,No,No,Yes,No,No,No,Mailed check,4,50.05,25.025,Month-to-month,0
True,Female,0,Yes,No,2,Yes,No,DSL,1,No,No,No,No,Yes,No,No,Mailed check,1,55.2,27.6,Month-to-month,0
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,No,No,No,No,Yes,Electronic check,18,73.15,36.575,Month-to-month,0
False,Female,1,Yes,No,2,Yes,No,Fiber optic,1,Yes,Yes,Yes,No,No,Yes,No,Electronic check,65,94.4,47.2,Month-to-month,0
False,Female,0,Yes,No,2,Yes,No,Fiber optic,1,Yes,Yes,Yes,No,Yes,No,Yes,Electronic check,51,93.5,46.75,One year,1
True,Male,1,Yes,No,2,No,No,DSL,1,No,Yes,No,No,Yes,No,No,Electronic check,1,40.2,20.1,Month-to-month,0
True,Female,0,Yes,No,2,Yes,No,DSL,1,No,No,No,No,No,No,Yes,Credit card (automatic),2,44.6,22.3,Month-to-month,0
False,Female,1,Yes,No,2,No,No,DSL,1,Yes,No,Yes,No,No,Yes,Yes,Electronic check,29,45.0,22.5,Month-to-month,0
False,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,No,No,Yes,Yes,Electronic check,57,89.85,44.925,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,Yes,Yes,Yes,Yes,Yes,No,Mailed check,45,113.3,56.65,One year,1
False,Female,0,Yes,No,2,Yes,Yes,No,0,No,No,No,No,No,No,Yes,Credit card (automatic),71,24.25,12.125,Two year,1
False,Male,0,Yes,No,2,Yes,No,DSL,1,Yes,Yes,No,Yes,No,No,Yes,Electronic check,57,59.75,29.875,Two year,1
False,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,Yes,Yes,Yes,No,Electronic check,20,107.05,53.525,Month-to-month,0
True,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,Yes,No,No,Yes,Electronic check,5,85.4,42.7,Month-to-month,0
True,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,52,105.05,52.525,Month-to-month,0
False,Male,1,Yes,No,2,Yes,No,DSL,1,Yes,Yes,No,No,No,Yes,Yes,Bank transfer (automatic),21,64.95,32.475,Month-to-month,0
True,Male,0,Yes,No,2,Yes,No,Fiber optic,1,No,No,No,No,No,No,No,Electronic check,1,70.0,35.0,Month-to-month,0
False,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,Yes,No,Yes,Yes,Yes,Electronic check,35,100.8,50.4,Month-to-month,0
True,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,No,No,No,No,Yes,Electronic check,32,74.9,37.45,Month-to-month,0
False,Female,1,Yes,No,2,Yes,No,Fiber optic,1,No,No,No,No,No,No,Yes,Electronic check,5,69.35,34.675,Month-to-month,0
True,Male,1,Yes,No,2,Yes,No,Fiber optic,1,No,No,Yes,No,Yes,Yes,Yes,Electronic check,24,93.15,46.575,Month-to-month,0
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,No,Yes,Yes,No,Yes,Credit card (automatic),35,91.5,45.75,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,Yes,Yes,Yes,Yes,Credit card (automatic),52,102.7,51.35,Month-to-month,0
False,Female,1,Yes,No,2,Yes,No,Fiber optic,1,No,No,No,Yes,Yes,No,Yes,Electronic check,11,82.9,41.45,Month-to-month,0
True,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,63,103.4,51.7,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,DSL,1,Yes,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),71,85.75,42.875,Two year,1
False,Female,0,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,No,Bank transfer (automatic),70,19.45,9.725,Two year,1
False,Female,1,Yes,No,2,Yes,No,Fiber optic,1,Yes,Yes,Yes,No,No,Yes,No,Bank transfer (automatic),64,97.0,48.5,One year,1
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,Yes,Yes,Yes,Yes,Electronic check,64,105.25,52.625,Two year,1
True,Male,1,Yes,No,2,No,No,DSL,1,Yes,No,No,No,No,No,No,Credit card (automatic),27,30.75,15.375,Month-to-month,0
False,Male,0,Yes,No,2,Yes,No,DSL,1,No,No,Yes,No,No,No,No,Credit card (automatic),58,50.3,25.15,One year,1
False,Male,0,Yes,No,2,Yes,No,DSL,1,Yes,No,No,No,No,Yes,Yes,Bank transfer (automatic),23,59.95,29.975,Month-to-month,0
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),71,98.65,49.325,One year,1
True,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),25,104.95,52.475,Month-to-month,0
False,Female,0,Yes,No,2,Yes,No,Fiber optic,1,No,Yes,Yes,Yes,No,No,Yes,Bank transfer (automatic),41,86.2,43.1,One year,1
True,Male,1,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,No,Mailed check,11,19.95,9.975,Month-to-month,0
True,Female,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,Yes,No,No,No,Yes,Electronic check,55,85.45,42.725,Month-to-month,0
False,Male,1,Yes,No,2,Yes,Yes,DSL,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),27,84.8,42.4,Month-to-month,0
False,Female,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,No,No,Yes,Yes,Yes,Electronic check,42,95.05,47.525,Month-to-month,0
False,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),33,109.9,54.95,Month-to-month,0
False,Female,0,Yes,No,2,Yes,No,DSL,1,Yes,No,No,Yes,No,No,No,Bank transfer (automatic),68,55.9,27.95,One year,1
False,Female,0,Yes,No,2,Yes,Yes,No,0,No,No,No,No,No,No,Yes,Bank transfer (automatic),46,24.45,12.225,One year,1
False,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,No,No,No,No,Yes,Electronic check,29,74.95,37.475,Month-to-month,0
False,Female,1,Yes,No,2,Yes,No,Fiber optic,1,No,No,No,No,No,No,Yes,Bank transfer (automatic),48,70.65,35.325,Month-to-month,0
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),70,98.7,49.35,Two year,1
False,Female,1,Yes,No,2,Yes,Yes,DSL,1,No,No,No,No,No,No,No,Bank transfer (automatic),55,51.65,25.825,Month-to-month,0
False,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),52,105.1,52.55,One year,1
False,Female,0,Yes,No,2,Yes,Yes,DSL,1,Yes,No,No,Yes,No,No,No,Bank transfer (automatic),68,58.25,29.125,One year,1
False,Male,0,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,Yes,Electronic check,41,19.75,9.875,Two year,1
False,Male,0,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,No,Bank transfer (automatic),36,20.85,10.425,One year,1
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,No,Yes,No,Yes,Yes,Bank transfer (automatic),35,89.85,44.925,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mailed check,54,114.65,57.325,One year,1
False,Female,0,Yes,No,2,Yes,No,Fiber optic,1,No,No,No,No,No,Yes,No,Electronic check,36,80.4,40.2,Month-to-month,0
False,Male,0,Yes,No,2,No,No,DSL,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),60,60.2,30.1,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,No,0,No,No,No,No,No,No,No,Mailed check,61,24.4,12.2,Two year,1
False,Male,0,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,No,Mailed check,2,20.0,10.0,Month-to-month,0
False,Female,0,Yes,No,2,Yes,No,DSL,1,No,Yes,No,No,Yes,Yes,Yes,Bank transfer (automatic),24,69.45,34.725,Month-to-month,0
False,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),72,116.05,58.025,Two year,1
False,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,Yes,Yes,Yes,Yes,No,Electronic check,64,102.1,51.05,Two year,1
False,Male,0,Yes,No,2,Yes,No,DSL,1,No,No,Yes,No,Yes,Yes,Yes,Mailed check,9,70.05,35.025,Month-to-month,0
False,Male,0,Yes,No,2,Yes,No,DSL,1,Yes,No,No,Yes,No,No,No,Mailed check,24,53.6,26.8,Month-to-month,0
True,Female,0,Yes,No,2,No,No,DSL,1,Yes,No,Yes,No,No,Yes,Yes,Bank transfer (automatic),48,45.3,22.65,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),72,108.5,54.25,One year,1
True,Female,0,Yes,No,2,Yes,No,Fiber optic,1,Yes,No,No,No,No,No,Yes,Electronic check,2,74.4,37.2,Month-to-month,0
False,Male,1,Yes,No,2,Yes,Yes,DSL,1,No,Yes,No,No,No,Yes,No,Bank transfer (automatic),61,64.05,32.025,One year,1
False,Male,0,Yes,No,2,Yes,No,DSL,1,Yes,Yes,No,Yes,No,No,No,Mailed check,28,60.9,30.45,Month-to-month,0
False,Female,0,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,No,Bank transfer (automatic),70,19.8,9.9,Two year,1
False,Female,1,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,No,No,No,No,No,Yes,Credit card (automatic),71,80.7,40.35,Two year,1
True,Male,0,Yes,No,2,Yes,No,Fiber optic,1,No,No,No,Yes,Yes,Yes,Yes,Electronic check,2,94.2,47.1,Month-to-month,0
True,Female,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,No,No,No,No,Yes,Electronic check,5,74.35,37.175,Month-to-month,0
False,Female,1,Yes,No,2,Yes,No,Fiber optic,1,No,No,No,No,No,No,No,Electronic check,5,70.05,35.025,Month-to-month,0
True,Female,1,Yes,No,2,Yes,No,Fiber optic,1,Yes,No,No,No,No,No,Yes,Bank transfer (automatic),27,75.2,37.6,Month-to-month,0
False,Male,1,Yes,No,2,Yes,Yes,DSL,1,No,No,No,No,No,No,Yes,Electronic check,29,51.6,25.8,Month-to-month,0
True,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,Yes,No,Yes,Yes,Yes,Electronic check,34,100.05,50.025,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,No,No,No,Yes,Bank transfer (automatic),63,81.55,40.775,Month-to-month,0
False,Female,0,Yes,No,2,Yes,No,Fiber optic,1,No,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),69,95.65,47.825,One year,1
False,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,Yes,Yes,No,Yes,No,Yes,Bank transfer (automatic),50,101.9,50.95,One year,1
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,Yes,Yes,Yes,Yes,Electronic check,56,107.25,53.625,One year,1
False,Male,0,Yes,No,2,Yes,Yes,No,0,No,No,No,No,No,No,Yes,Mailed check,3,23.6,11.8,Month-to-month,0
False,Male,0,Yes,No,2,Yes,Yes,DSL,1,Yes,Yes,No,Yes,Yes,No,No,Credit card (automatic),71,73.5,36.75,Two year,1
True,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,No,Yes,Yes,No,Credit card (automatic),56,100.3,50.15,One year,1
False,Female,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,28,110.85,55.425,Month-to-month,0
False,Male,0,Yes,No,2,Yes,No,DSL,1,Yes,Yes,No,Yes,Yes,Yes,Yes,Mailed check,61,81.05,40.525,Two year,1
False,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,Yes,No,No,No,Yes,Yes,Electronic check,35,94.55,47.275,Month-to-month,0
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,Yes,Yes,No,No,Yes,Yes,Electronic check,72,99.15,49.575,Two year,1
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),72,111.9,55.95,Two year,1
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,No,No,Yes,Yes,Credit card (automatic),51,90.35,45.175,One year,1
False,Male,0,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,Yes,Credit card (automatic),65,20.4,10.2,Two year,1
False,Male,0,Yes,No,2,Yes,Yes,DSL,1,Yes,No,Yes,Yes,Yes,Yes,No,Credit card (automatic),72,86.65,43.325,Two year,1
True,Female,1,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,No,Yes,No,Yes,Yes,No,Bank transfer (automatic),65,105.25,52.625,Month-to-month,0
False,Female,0,Yes,No,2,Yes,No,Fiber optic,1,No,No,No,Yes,Yes,Yes,Yes,Electronic check,25,95.15,47.575,Month-to-month,0
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,Yes,No,No,No,No,Electronic check,23,84.25,42.125,Month-to-month,0
False,Female,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,Yes,No,Yes,Yes,No,Credit card (automatic),66,104.6,52.3,One year,1
True,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,No,No,Yes,No,Credit card (automatic),49,90.05,45.025,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,DSL,1,Yes,No,No,No,No,No,No,Bank transfer (automatic),46,55.0,27.5,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,DSL,1,Yes,Yes,Yes,Yes,No,No,No,Credit card (automatic),68,70.9,35.45,Two year,1
True,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,No,No,No,Yes,Yes,Electronic check,10,85.25,42.625,Month-to-month,0
True,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,No,No,Yes,Yes,Yes,Electronic check,20,94.55,47.275,Month-to-month,0
False,Male,0,Yes,No,2,Yes,No,DSL,1,Yes,Yes,Yes,No,Yes,Yes,No,Bank transfer (automatic),45,78.8,39.4,One year,1
False,Male,0,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,No,Bank transfer (automatic),37,20.35,10.175,Month-to-month,0
False,Female,0,Yes,No,2,No,No,DSL,1,No,Yes,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),70,57.8,28.9,Two year,1
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,No,No,No,No,Bank transfer (automatic),45,81.4,40.7,Month-to-month,0
False,Female,0,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,Yes,Mailed check,1,20.65,10.325,Month-to-month,0
False,Male,0,Yes,No,2,Yes,Yes,DSL,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),72,85.15,42.575,Two year,1
False,Male,0,Yes,No,2,Yes,No,Fiber optic,1,No,No,Yes,No,No,No,Yes,Credit card (automatic),29,75.3,37.65,Month-to-month,0
False,Female,0,Yes,No,2,Yes,No,Fiber optic,1,No,No,Yes,Yes,No,No,Yes,Mailed check,20,81.0,40.5,Month-to-month,0
False,Male,0,Yes,No,2,Yes,Yes,No,0,No,No,No,No,No,No,No,Mailed check,72,25.4,12.7,Two year,1
False,Female,0,Yes,No,2,No,No,DSL,1,No,Yes,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),71,58.25,29.125,Two year,1
False,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,Yes,No,No,No,Yes,Credit card (automatic),68,80.35,40.175,Month-to-month,0
True,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,No,No,Yes,Yes,Yes,Electronic check,33,94.5,47.25,Month-to-month,0
False,Male,1,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,Yes,Mailed check,9,21.25,10.625,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,Yes,No,No,Yes,No,Bank transfer (automatic),27,90.15,45.075,Month-to-month,0
False,Male,0,Yes,No,2,Yes,No,Fiber optic,1,Yes,Yes,Yes,Yes,No,Yes,No,Credit card (automatic),70,101.0,50.5,Two year,1
False,Female,1,Yes,No,2,Yes,Yes,DSL,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),72,89.85,44.925,Two year,1
False,Female,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),72,110.8,55.4,Two year,1
False,Male,0,Yes,No,2,Yes,No,No,0,No,No,No,No,No,No,No,Mailed check,48,19.25,9.625,Two year,1
False,Female,0,Yes,No,2,Yes,No,Fiber optic,1,Yes,Yes,No,No,Yes,No,No,Electronic check,2,90.35,45.175,Month-to-month,0
True,Male,0,Yes,No,2,Yes,No,Fiber optic,1,No,No,No,No,No,No,Yes,Electronic check,3,70.3,35.15,Month-to-month,0
False,Male,0,Yes,No,2,Yes,No,DSL,1,Yes,Yes,No,No,No,Yes,No,Mailed check,17,64.8,32.4,One year,1
True,Female,0,Yes,No,2,Yes,No,Fiber optic,1,Yes,No,Yes,No,No,Yes,Yes,Mailed check,5,88.9,44.45,Month-to-month,0
True,Male,0,Yes,No,2,Yes,No,Fiber optic,1,No,No,Yes,No,Yes,Yes,Yes,Electronic check,33,95.8,47.9,One year,1
False,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),72,110.65,55.325,Two year,1
False,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit card (automatic),59,107.0,53.5,One year,1
False,Female,0,Yes,No,2,Yes,Yes,DSL,1,Yes,No,No,Yes,No,No,Yes,Bank transfer (automatic),34,60.85,30.425,Month-to-month,0
False,Male,0,Yes,No,2,Yes,No,DSL,1,No,Yes,No,Yes,No,Yes,Yes,Mailed check,2,64.2,32.1,Month-to-month,0
False,Female,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,No,No,No,No,Yes,Credit card (automatic),70,75.65,37.825,Two year,1
False,Female,0,Yes,No,2,Yes,No,DSL,1,No,Yes,No,Yes,Yes,No,Yes,Credit card (automatic),46,64.2,32.1,Two year,1
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),71,108.55,54.275,Two year,1
True,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,No,No,Yes,Yes,Yes,Electronic check,40,101.3,50.65,Month-to-month,0
False,Female,0,Yes,No,2,Yes,Yes,No,0,No,No,No,No,No,No,No,Electronic check,42,25.25,12.625,Two year,1
True,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,21,111.2,55.6,Month-to-month,0
False,Male,0,Yes,No,2,Yes,Yes,Fiber optic,1,Yes,Yes,No,Yes,No,No,Yes,Credit card (automatic),70,88.0,44.0,Two year,1
False,Female,0,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,61,106.35,53.175,Month-to-month,0
True,Male,1,Yes,No,2,Yes,Yes,Fiber optic,1,No,No,No,No,Yes,Yes,Yes,Bank transfer (automatic),7,95.6,47.8,Month-to-month,0
